"Gridcode","species"
101624,"Crocidura attenuata"
101624,"Ochotona curzoniae"
101624,"Ursus thibetanus"
101624,"Otocolobus manul"
101624,"Vulpes vulpes"
101624,"Mus musculus"
101624,"Felis chaus"
101624,"Prionailurus bengalensis"
101624,"Catopuma temminckii"
101624,"Canis lupus"
101624,"Canis lupus ssp. chanco"
101624,"Martes foina"
101624,"Mustela sibirica"
101624,"Paguma larvata"
101625,"Macaca assamensis"
101625,"Macaca assamensis ssp. pelops"
101625,"Rhinoceros unicornis"
101625,"Rhinolophus ferrumequinum"
101625,"Myotis nipalensis"
101625,"Barbastella leucomelas"
101625,"Myotis muricola"
101625,"Murina huttoni"
101625,"Cynopterus sphinx"
101625,"Pipistrellus coromandra"
101625,"Equus kiang"
101625,"Ochotona macrotis"
101625,"Ochotona roylii"
101625,"Lepus oiostolus"
101625,"Mustela altaica"
101625,"Vulpes ferrilata"
101625,"Panthera uncia"
101625,"Pseudois nayaur"
101625,"Cuon alpinus"
101625,"Barbastella darjelingensis"
101625,"Plecotus wardi"
101625,"Plecotus homochrous"
101625,"Alticola stoliczkanus"
101625,"Urocricetus alticola"
101625,"Marmota himalayana"
101625,"Rattus tanezumi"
101625,"Rattus pyctoris"
101625,"Lynx lynx"
101625,"Crocidura attenuata"
101625,"Ochotona curzoniae"
101625,"Ursus thibetanus"
101625,"Otocolobus manul"
101625,"Vulpes vulpes"
101625,"Mus musculus"
101625,"Prionailurus bengalensis"
101625,"Catopuma temminckii"
101625,"Canis lupus"
101625,"Canis lupus ssp. chanco"
101625,"Martes foina"
101625,"Mustela sibirica"
101625,"Paguma larvata"
101626,"Macaca assamensis"
101626,"Macaca assamensis ssp. pelops"
101626,"Rhinoceros unicornis"
101626,"Rhinolophus ferrumequinum"
101626,"Myotis nipalensis"
101626,"Barbastella leucomelas"
101626,"Myotis muricola"
101626,"Cynopterus sphinx"
101626,"Pipistrellus coromandra"
101626,"Equus kiang"
101626,"Ochotona macrotis"
101626,"Ochotona roylii"
101626,"Lepus oiostolus"
101626,"Mustela altaica"
101626,"Vulpes ferrilata"
101626,"Panthera uncia"
101626,"Pseudois nayaur"
101626,"Cuon alpinus"
101626,"Barbastella darjelingensis"
101626,"Plecotus wardi"
101626,"Alticola stoliczkanus"
101626,"Urocricetus alticola"
101626,"Marmota himalayana"
101626,"Rattus tanezumi"
101626,"Rattus pyctoris"
101626,"Lynx lynx"
101626,"Ochotona curzoniae"
101626,"Ursus thibetanus"
101626,"Otocolobus manul"
101626,"Vulpes vulpes"
101626,"Mus musculus"
101626,"Prionailurus bengalensis"
101626,"Catopuma temminckii"
101626,"Canis lupus"
101626,"Canis lupus ssp. chanco"
101626,"Martes foina"
101626,"Mustela sibirica"
101626,"Paguma larvata"
101627,"Macaca assamensis"
101627,"Macaca assamensis ssp. pelops"
101627,"Rhinoceros unicornis"
101627,"Rhinolophus ferrumequinum"
101627,"Myotis nipalensis"
101627,"Barbastella leucomelas"
101627,"Myotis muricola"
101627,"Cynopterus sphinx"
101627,"Pipistrellus coromandra"
101627,"Equus kiang"
101627,"Ochotona macrotis"
101627,"Ochotona roylii"
101627,"Lepus oiostolus"
101627,"Mustela altaica"
101627,"Vulpes ferrilata"
101627,"Panthera uncia"
101627,"Pseudois nayaur"
101627,"Cuon alpinus"
101627,"Barbastella darjelingensis"
101627,"Plecotus wardi"
101627,"Alticola stoliczkanus"
101627,"Urocricetus alticola"
101627,"Marmota himalayana"
101627,"Rattus tanezumi"
101627,"Rattus pyctoris"
101627,"Episoriculus leucops"
101627,"Lynx lynx"
101627,"Ochotona curzoniae"
101627,"Ursus thibetanus"
101627,"Otocolobus manul"
101627,"Vulpes vulpes"
101627,"Mus musculus"
101627,"Prionailurus bengalensis"
101627,"Catopuma temminckii"
101627,"Canis lupus"
101627,"Canis lupus ssp. chanco"
101627,"Martes foina"
101627,"Mustela sibirica"
101627,"Paguma larvata"
101603,"Semnopithecus schistaceus"
101603,"Macaca assamensis"
